Sample,Classification
NDMA1,253.112
NDMA2,253.112
NDMA4,253.112
NDMA5,270.28
NDMA6,271.004
NDMA7,219.366
NDMA8,239.845
NDMA9,236.006
NDMA10,256.339
NDMA11,233.381
NDMA12,209.596
NDMA13,201.763
NDMA14,185.403
NDMA15,221.774
NDMA16,230.141
NDMA17,188.03
NDMA19,267.623
NDMA20,263.985
NDMA21,243.18
NDMA22,240.281
NDMA23,251.253
NDMA24,223.425
NDMA26,212.637
NDMA27,235.921
NDMA28,232.032
NDMA29,223.244
NDMA30,241.383
NDMA31,198.259
NDMA32,219.39
NDMA33,249.219
NDMA34,253.388
NDMA35,252.287
NDMA36,269.012
NDMA37,234.741
NDMA38,224.917
NDMA39,259.091
NDMA40,266.586
NDMA41,180.648
NDMA43,235.561
NDMA44,260.422
NDMA45,246.914
NDMA46,266.752
NDMA47,250.773
NDMA48,223.006
NDMA49,267.038
NDMA50,279.063
NDMA52,228.742
NDMA53,260.492
NDMA55,247.626
NDMA56,250.049
NDMA57,283.863
NDMA58,244.864
NDMA60,242.276
NDMA61,208.071
NDMA62,261.521
NDMA63,241.601
NDMA64,246.253
NDMA65,257.17
NDMA66,255.895
NDMA67,203.557
NDMA68,292.224
NDMA69,253.381
NDMA70,255.435
NDMA71,257.382
NDMA72,296.338
NDMA73,243.671
NDMA74,234.102
NDMA75,263.803
NDMA76,250.354
NDMA78,267.712
NDMA79,246.557
NDMA80,232.019
NDMA81,261.708
NDMA82,224.834
NDMA83,250.178
NDMA84,235.062
NDMA85,234.295
NDMA86,288.749
NDMA87,215.424
NDMA88,225.95
NDMA89,278.63
NDMA90,234.612
NDMA91,239.61
NDMA92,287.492
NDMA93,275.69
NDMA94,232.905
NDMA95,327.014
NDMA96,264.018
NDMA97,301.658
NDMA98,262.254
NDMA99,297.823
NDMA100,257.125
NDMA101,267.881
NDMA102,285.557
NDMA103,296.443
NDMA104,290.079
NDMA105,47.452
NDMA106,274.338
NDMA107,114.39
